Unique Transaction Identifier,Price,Date of Transaction,Postal Code,Property Type,Old/New,Duration,PAON,SAON,Street,Locality,Town/City,District,County,PPD Category Type,Record Status
{1061746E-BC89-3C34-E063-4804A8C0F9E7},190000,2023-03-07,HP12 3AA,F,N,L,132,FLAT 4,WEST WYCOMBE ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC8A-3C34-E063-4804A8C0F9E7},200000,2023-03-07,HP12 3AA,F,N,L,132,FLAT 5,WEST WYCOMBE ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC8B-3C34-E063-4804A8C0F9E7},240000,2023-03-07,HP12 3AA,F,N,L,132,FLAT 6,WEST WYCOMBE ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{152AB733-8B11-E651-E063-4704A8C061D9},330000,2023-12-18,HP12 3JP,S,N,F,17,,SPEARING ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B12-E651-E063-4704A8C061D9},430000,2023-07-28,SL0 0DB,T,N,F,12,,ST MARGARETS CLOSE,,IVER,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B14-E651-E063-4704A8C061D9},249950,2023-11-29,SL8 5XG,F,N,L,17,,BRIDGESTONE DRIVE,,BOURNE END,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B1B-E651-E063-4704A8C061D9},475000,2023-12-05,MK18 3NR,D,N,F,5,,THE SPINNEY,WINSLOW,BUCKINGHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B1C-E651-E063-4704A8C061D9},228250,2023-11-30,MK18 3QB,S,N,F,10,,LONGLANDS WALK,WINSLOW,BUCKINGHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B1D-E651-E063-4704A8C061D9},590000,2023-12-15,UB9 5NA,S,N,F,23,,DENHAM GREEN CLOSE,DENHAM,UXBRIDGE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B1E-E651-E063-4704A8C061D9},660000,2023-11-10,SL0 0HP,S,N,F,33,,COOPERS ROW,,IVER,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B1F-E651-E063-4704A8C061D9},325000,2023-12-07,HP20 1XJ,S,N,F,43,,FIELD WAY,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B22-E651-E063-4704A8C061D9},650000,2023-11-10,SL0 0BN,D,N,F,NORACK,,BANGORS ROAD NORTH,,IVER,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B23-E651-E063-4704A8C061D9},255000,2023-12-07,HP20 1XS,T,N,F,25,,MEADOW WAY,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B24-E651-E063-4704A8C061D9},830000,2023-12-13,UB9 5JD,D,N,F,56,,TILEHOUSE WAY,DENHAM,UXBRIDGE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B2D-E651-E063-4704A8C061D9},575000,2023-12-11,HP5 1RB,S,N,F,27,,CHESSMOUNT RISE,,CHESHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B31-E651-E063-4704A8C061D9},900000,2023-12-14,SL9 9LN,D,N,F,LAUREL COTTAGE,,GROVE LANE,CHALFONT ST PETER,GERRARDS CROSS,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B33-E651-E063-4704A8C061D9},364000,2023-07-28,MK18 4QU,S,N,F,8,,NEW STREET,TINGEWICK,BUCKINGHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B34-E651-E063-4704A8C061D9},420000,2023-12-13,HP27 9DE,S,N,F,39,,STATION ROAD,,PRINCES RISBOROUGH,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B36-E651-E063-4704A8C061D9},1200000,2023-11-10,SL7 1EF,T,N,F,21,,BEAUMONT RISE,,MARLOW,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
